block;num_tones;prob;style;running_no;file_name;difficulty
2;3;70;B;18;block_02_tc3_p70_styleB_18;easy
2;3;70;B;19;block_02_tc3_p70_styleB_19;easy
2;3;70;B;20;block_02_tc3_p70_styleB_20;easy
2;3;70;B;21;block_02_tc3_p70_styleB_21;easy
2;3;70;B;22;block_02_tc3_p70_styleB_22;easy
2;3;70;B;23;block_02_tc3_p70_styleB_23;easy
2;3;70;B;24;block_02_tc3_p70_styleB_24;easy
2;3;70;B;25;block_02_tc3_p70_styleB_25;easy
3;3;80;A;1;block_03_tc3_p80_styleA_01;easy
3;3;80;A;2;block_03_tc3_p80_styleA_02;easy
3;3;80;A;3;block_03_tc3_p80_styleA_03;easy
3;3;80;A;4;block_03_tc3_p80_styleA_04;easy
3;3;80;A;5;block_03_tc3_p80_styleA_05;easy
3;3;80;A;6;block_03_tc3_p80_styleA_06;easy
3;3;80;A;7;block_03_tc3_p80_styleA_07;easy
3;3;80;A;8;block_03_tc3_p80_styleA_08;easy
3;3;80;A;9;block_03_tc3_p80_styleA_09;easy
3;3;80;A;10;block_03_tc3_p80_styleA_10;easy
3;3;80;A;11;block_03_tc3_p80_styleA_11;easy
3;3;80;A;12;block_03_tc3_p80_styleA_12;easy
3;3;80;A;13;block_03_tc3_p80_styleA_13;easy
3;3;80;A;14;block_03_tc3_p80_styleA_14;easy
3;3;80;A;15;block_03_tc3_p80_styleA_15;easy
3;3;80;A;16;block_03_tc3_p80_styleA_16;easy
3;3;80;A;17;block_03_tc3_p80_styleA_17;easy
3;3;80;A;18;block_03_tc3_p80_styleA_18;easy
3;3;80;A;19;block_03_tc3_p80_styleA_19;easy
3;3;80;A;20;block_03_tc3_p80_styleA_20;easy
3;3;80;A;21;block_03_tc3_p80_styleA_21;easy
3;3;80;A;22;block_03_tc3_p80_styleA_22;easy
3;3;80;A;23;block_03_tc3_p80_styleA_23;easy
3;3;80;A;24;block_03_tc3_p80_styleA_24;easy
3;3;80;A;25;block_03_tc3_p80_styleA_25;easy
3;3;80;B;1;block_03_tc3_p80_styleB_01;easy
3;3;80;B;2;block_03_tc3_p80_styleB_02;easy
3;3;80;B;3;block_03_tc3_p80_styleB_03;easy
3;3;80;B;4;block_03_tc3_p80_styleB_04;easy
3;3;80;B;5;block_03_tc3_p80_styleB_05;easy
3;3;80;B;6;block_03_tc3_p80_styleB_06;easy
3;3;80;B;7;block_03_tc3_p80_styleB_07;easy
3;3;80;B;8;block_03_tc3_p80_styleB_08;easy
3;3;80;B;9;block_03_tc3_p80_styleB_09;easy
3;3;80;B;10;block_03_tc3_p80_styleB_10;easy
3;3;80;B;11;block_03_tc3_p80_styleB_11;easy
3;3;80;B;12;block_03_tc3_p80_styleB_12;easy
3;3;80;B;13;block_03_tc3_p80_styleB_13;easy
3;3;80;B;14;block_03_tc3_p80_styleB_14;easy
3;3;80;B;15;block_03_tc3_p80_styleB_15;easy
3;3;80;B;16;block_03_tc3_p80_styleB_16;easy
3;3;80;B;17;block_03_tc3_p80_styleB_17;easy
3;3;80;B;18;block_03_tc3_p80_styleB_18;easy
3;3;80;B;19;block_03_tc3_p80_styleB_19;easy
3;3;80;B;20;block_03_tc3_p80_styleB_20;easy
3;3;80;B;21;block_03_tc3_p80_styleB_21;easy
3;3;80;B;22;block_03_tc3_p80_styleB_22;easy
3;3;80;B;23;block_03_tc3_p80_styleB_23;easy
3;3;80;B;24;block_03_tc3_p80_styleB_24;easy
3;3;80;B;25;block_03_tc3_p80_styleB_25;easy
4;3;90;A;1;block_04_tc3_p90_styleA_01;easy
4;3;90;A;2;block_04_tc3_p90_styleA_02;easy
4;3;90;A;3;block_04_tc3_p90_styleA_03;easy
4;3;90;A;4;block_04_tc3_p90_styleA_04;easy
4;3;90;A;5;block_04_tc3_p90_styleA_05;easy
4;3;90;A;6;block_04_tc3_p90_styleA_06;easy
4;3;90;A;7;block_04_tc3_p90_styleA_07;easy
4;3;90;A;8;block_04_tc3_p90_styleA_08;easy
4;3;90;A;9;block_04_tc3_p90_styleA_09;easy
4;3;90;A;10;block_04_tc3_p90_styleA_10;easy
4;3;90;A;11;block_04_tc3_p90_styleA_11;easy
4;3;90;A;12;block_04_tc3_p90_styleA_12;easy
4;3;90;A;13;block_04_tc3_p90_styleA_13;easy
4;3;90;A;14;block_04_tc3_p90_styleA_14;easy
4;3;90;A;15;block_04_tc3_p90_styleA_15;easy
4;3;90;A;16;block_04_tc3_p90_styleA_16;easy
4;3;90;A;17;block_04_tc3_p90_styleA_17;easy
4;3;90;A;18;block_04_tc3_p90_styleA_18;easy
4;3;90;A;19;block_04_tc3_p90_styleA_19;easy
4;3;90;A;20;block_04_tc3_p90_styleA_20;easy
4;3;90;A;21;block_04_tc3_p90_styleA_21;easy
4;3;90;A;22;block_04_tc3_p90_styleA_22;easy
4;3;90;A;23;block_04_tc3_p90_styleA_23;easy
4;3;90;A;24;block_04_tc3_p90_styleA_24;easy
4;3;90;A;25;block_04_tc3_p90_styleA_25;easy
4;3;90;B;1;block_04_tc3_p90_styleB_01;easy
4;3;90;B;2;block_04_tc3_p90_styleB_02;easy
4;3;90;B;3;block_04_tc3_p90_styleB_03;easy
